condition,drugName,avg_rating,reviews_count,score
ADHD,Adderall,8.224669603524228,227,8.102423668881745
ADHD,Adderall XR,8.266187050359711,139,8.072016857062193
ADHD,Adzenys XR-ODT,5.9523809523809526,21,6.517625316482606
ADHD,Amantadine,8.666666666666666,3,7.171813019935711
ADHD,Amphetamine,6.518518518518518,54,6.668490690610125
ADHD,Amphetamine / dextroamphetamine,7.967105263157895,456,7.916446495962994
ADHD,Aptensio XR,6.833333333333333,6,6.961637566393544
ADHD,Armodafinil,8.23076923076923,13,7.416072751531576
ADHD,Atomoxetine,5.43859649122807,285,5.5639056921232255
ADHD,Budeprion XL,2.0,1,6.800414021469226
ADHD,Bupropion,7.5,72,7.369183139775256
ADHD,Catapres,9.333333333333334,3,7.243241591364282
ADHD,Clonidine,8.25,36,7.734602697675408
ADHD,Concerta,7.132295719844358,257,7.119896328220568
ADHD,Cylert,9.571428571428571,7,7.556586392443746
ADHD,Daytrana,8.262295081967213,61,7.893148425095348
ADHD,Desipramine,6.0,1,6.9542601753153805
ADHD,Desoxyn,9.631578947368421,19,8.132062830868179
ADHD,Desvenlafaxine,8.666666666666666,3,7.171813019935711
ADHD,Dexedrine,8.421052631578947,57,7.985497128758534
ADHD,Dexmethylphenidate,7.441666666666666,120,7.364212169366896
ADHD,Dextroamphetamine,8.712765957446809,94,8.35135096267395
ADHD,Dextrostat,10.0,1,7.108106329161535
ADHD,Dyanavel XR,6.0,10,6.7088789873771395
ADHD,Evekeo,7.3,20,7.129128101293331
ADHD,Focalin,6.886792452830188,53,6.920650827669229
ADHD,Focalin XR,7.844827586206897,58,7.588081500701204
ADHD,Guanfacine,5.737179487179487,156,5.910556710266298
ADHD,Imipramine,3.0,1,6.838875559930765
ADHD,Intuniv,6.177570093457944,107,6.3318997315015135
ADHD,Kapvay,7.352941176470588,17,7.1383515370999975
ADHD,Lisdexamfetamine,7.697080291970803,548,7.6663364128415346
ADHD,Metadate CD,7.117647058823529,34,7.0645892297999975
ADHD,Metadate ER,7.0,1,6.992721713776919
ADHD,Methamphetamine,8.714285714285714,28,7.902089897324526
ADHD,Methylin,8.181818181818182,11,7.355854571061108
ADHD,Methylin ER,8.5,8,7.357901956309087
ADHD,Methylphenidate,7.382066276803119,513,7.363960528918588
ADHD,Modafinil,8.823529411764707,17,7.733589632338093
ADHD,Mydayis,4.533333333333333,15,6.070269113954997
ADHD,Nuvigil,8.285714285714286,7,7.275336392443746
ADHD,Omega-3 polyunsaturated fatty acids,8.166666666666666,6,7.219702082522577
ADHD,Pemoline,9.571428571428571,7,7.556586392443746
ADHD,Pristiq,8.0,2,7.067065354007403
ADHD,ProCentra,10.0,1,7.108106329161535
ADHD,Provigil,9.2,5,7.360358818606663
ADHD,Quillivant XR,5.357142857142857,14,6.405404219441023
ADHD,Ritalin,7.447368421052632,76,7.334760045130692
ADHD,Ritalin LA,9.2,10,7.623164701662853
ADHD,Ritalin-SR,5.5,2,6.881880168822218
ADHD,Selegiline,10.0,1,7.108106329161535
ADHD,Strattera,5.433212996389892,277,5.562287299861589
ADHD,Tenex,1.0,1,6.761952483007688
ADHD,Vyvanse,7.677777777777778,540,7.647452680633982
ADHD,Wellbutrin,5.5,4,6.786578088213789
ADHD,Wellbutrin SR,8.0,4,7.1314056744206855
